Year,Mo,Dy,tave,tmax,tmin,vp,rhmax,rhmin,pp,gust
2000,3,27,10.437000000000001,20.785,0.09,0.649,0.878,0.15,0.0,6.468
2000,3,28,9.607000000000001,15.815,3.398,0.664,0.809,0.302,0.0,9.878
2000,3,29,9.025,15.119000000000002,2.931,0.647,0.9159999999999999,0.21100000000000002,0.0,7.82
2000,3,30,2.68,5.218999999999999,0.141,0.603,1.013,0.616,0.0,8.84
2000,3,31,0.596,2.171,-0.9790000000000001,0.556,1.008,0.737,0.0,5.547000000000001
2000,4,1,4.205,10.472999999999999,-2.063,0.506,0.983,0.244,0.0,6.86
2000,4,2,3.181,7.492999999999999,-1.13,0.542,1.003,0.41,0.0,13.190999999999999
2000,4,3,1.946,7.091,-3.198,0.38,0.799,0.284,0.0,10.682
2000,4,4,10.902000000000001,25.1,-3.2960000000000003,0.64,0.9079999999999999,0.075,0.0,14.524000000000001
2000,4,5,16.131,23.788,8.474,0.531,0.45899999999999996,0.122,0.0,17.444000000000003
2000,4,6,12.382,22.723000000000003,2.041,0.617,0.76,0.099,0.0,14.759
2000,4,7,7.766,14.864,0.667,0.486,0.7509999999999999,0.171,0.0,15.876
2000,4,8,7.787000000000001,18.929000000000002,-3.355,0.473,0.76,0.13699999999999998,0.0,6.586
2000,4,9,12.050999999999998,23.574,0.529,0.552,0.667,0.11900000000000001,0.0,8.644
2000,4,10,12.538,17.551,7.524,0.546,0.578,0.175,0.0,10.682
2000,4,11,10.45,17.201,3.7,0.608,0.732,0.23,0.0,8.84
2000,4,12,12.252,23.537,0.966,0.7140000000000001,0.91,0.092,0.0,10.133
2000,4,13,15.172,25.241999999999997,5.102,0.613,0.601,0.11199999999999999,0.0,8.977
2000,4,14,12.347999999999999,23.158,1.5390000000000001,0.653,0.79,0.121,0.0,10.917
2000,4,15,-0.371,1.8419999999999999,-2.5839999999999996,0.523,0.993,0.767,0.0,5.782
2000,4,16,6.79,16.178,-2.5989999999999998,0.659,0.9790000000000001,0.35700000000000004,0.0,7.487
2000,4,17,13.447000000000001,24.218000000000004,2.675,0.7959999999999999,0.902,0.131,0.0,8.271
2000,4,18,14.251,24.572,3.93,0.73,0.782,0.11699999999999999,0.0,13.308
2000,4,19,9.582,11.408,7.757000000000001,0.414,0.502,0.193,0.0,13.72
2000,4,20,11.77,20.1,3.44,0.625,0.695,0.21100000000000002,0.0,9.565
